wvl_nm	Abs_CO2
1715	8.14E-08
1720	0
1725	0
1730	0
1735	0
1740	0
1745	0
1750	0
1755	2.39E-07
1760	1.00E-07
1765	1.06E-07
1770	3.13E-08
1775	3.13E-09
1780	0
1785	1.25E-07
1790	1.10E-07
1795	1.22E-07
1800	5.63E-08
1805	9.39E-09
1810	0
1815	0
1820	0
1825	0
1830	0
1835	0
1840	0
1845	0
1850	0
1855	0
1860	0
1865	0
1870	1.16E-07
1875	1.61E-05
1880	4.64E-05
1885	2.00E-05
1890	6.92E-06
1895	1.57E-06
1900	6.42E-07
1905	5.86E-07
1910	6.50E-07
1915	3.37E-07
1920	4.18E-07
1925	3.00E-07
1930	1.41E-07
1935	2.54E-06
1940	4.03E-05
1945	0.000289175
1950	0.000751033
1955	0.001739906
1960	0.001096416
1965	0.00126064
1970	0.000787352
1975	0.000308529
1980	8.80E-05
1985	2.29E-05
1990	2.55E-05
1995	0.000236389
2000	0.002042217
2005	0.003786323
2010	0.00232919
2015	0.00276833
2020	0.001721518
2025	0.000774129
2030	0.000302326
2035	0.000185909
2040	0.000232121
2045	0.000267789
2050	0.000938988
2055	0.001335865
2060	0.000749567
2065	0.001019327
2070	0.000859432
2075	0.000531992
2080	0.000220125
2085	0.000247606
2090	0.000166136
2095	8.49E-05
2100	4.73E-05
2105	2.34E-05
2110	2.39E-05
2115	1.78E-05
2120	6.92E-06
2125	2.00E-06
2130	1.84E-06
2135	1.02E-06
2140	1.22E-06
2145	3.38E-06
2150	1.20E-05
2155	4.51E-06
2160	7.58E-06
2165	6.36E-06
2170	4.05E-06
2175	1.47E-06
2180	5.95E-07
2185	3.34E-07
2190	5.05E-07
2195	2.03E-07
2200	2.50E-08
2205	0
2210	0
2215	0
2220	0
2225	0
2230	0
2235	0
2240	0
2245	1.56E-08
2250	1.00E-07
2255	1.31E-07
2260	3.44E-08
2265	0
2270	0
2275	0
2280	0
2285	0
2290	0
2295	0
2300	0
2305	0
2310	0
2315	0
2320	0
2325	0
2330	0
2335	0
2340	0
2345	0
2350	0
2355	0
2360	0
2365	0
2370	0
2375	0
2380	0
2385	0
2390	0
2395	0
2400	0
2405	0
2410	0
2415	0
2420	0
2425	0
2430	0
2435	0
2440	0
2445	0
2450	0
2455	0
2460	0
2465	0
2470	0
2475	0
2480	1.82E-07
2485	3.87E-06
2490	2.18E-06
2495	8.07E-07
2500	1.25E-06
2505	8.28E-07
2510	6.77E-07
2515	1.10E-06
2520	6.99E-07
2525	2.94E-07
2530	1.31E-07
2535	8.76E-08
2540	7.51E-08
2545	6.26E-08
2550	6.26E-08
2555	7.51E-08
2560	9.39E-08
2565	1.03E-07
2570	1.35E-07
2575	5.38E-07
2580	1.29E-06
2585	1.84E-06
2590	1.06E-06
2595	1.03E-06
2600	2.51E-06
2605	7.53E-06
2610	1.64E-05
2615	1.86E-05
2620	7.25E-06
2625	1.02E-05
2630	1.62E-05
2635	1.41E-05
2640	1.01E-05
2645	1.01E-05
2650	1.31E-05
2655	2.92E-05
2660	0.000359558
2665	0.002548101
2670	0.013958642
2675	0.0790531
2680	0.20168
2685	0.268518
2690	0.029022396
2695	0.031751881
2700	0.169268
2705	0.114855
2710	0.0539818
2715	0.017894585
2720	0.008605098
2725	0.004210305
2730	0.003375103
2735	0.003717408
2740	0.007498649
2745	0.013366686
2750	0.0426177
2755	0.113369
2760	0.149477
2765	0.021999972
2770	0.017103986
2775	0.106334
2780	0.096616
2785	0.0625892
2790	0.021198215
2795	0.016285305
2800	0.012653322
2805	0.010937707
2810	0.009370629
2815	0.007478097
2820	0.004189789
2825	0.003019793
2830	0.002218667
2835	0.001311828
2840	0.001563748
2845	0.001555877
2850	0.001365545
2855	0.000908615
2860	0.000536528
2865	0.000451199
2870	0.000367349
2875	0.000285454
2880	0.000159902
2885	7.11E-05
2890	3.48E-05
2895	1.73E-05
2900	9.24E-06
2905	4.81E-06
2910	2.53E-06
2915	1.75E-06
2920	1.75E-06
2925	2.09E-06
2930	2.18E-06
2935	1.09E-06
2940	2.96E-07
2945	4.27E-07
2950	9.82E-07
2955	3.63E-06
2960	1.17E-05
2965	2.40E-05
2970	5.39E-05
2975	7.63E-05
2980	7.30E-05
2985	4.41E-05
2990	1.58E-05
2995	3.02E-05
3000	8.92E-07
3005	8.22E-06
3010	2.18E-05
3015	2.58E-05
3020	2.17E-05
3025	1.31E-05
