Wvl_nm	Ref_228K	a0	a1
401	6.99000E-24	-5.7689	0
402	7.61000E-24	-5.9977	0
403	7.77000E-24	-6.1547	0
404	7.65000E-24	-6.2351	0
405	7.60000E-24	-6.0664	0
406	8.49140E-24	-5.3171	0
407	1.15670E-23	-3.855	0
408	1.55580E-23	-2.9245	0
409	1.80470E-23	-2.632	0
410	1.90600E-23	-2.583	0
411	1.91080E-23	-2.5986	0
412	1.81840E-23	-2.661	0
413	1.60600E-23	-3.2134	0
414	1.69680E-23	-2.9399	0
415	2.07940E-23	-2.1908	0
416	2.45890E-23	-1.9419	0
417	2.77280E-23	-1.7808	0
418	2.90770E-23	-1.6605	0
419	2.78010E-23	-1.8161	0
420	2.84610E-23	-1.6943	0
421	3.20030E-23	-1.4438	0
422	3.81910E-23	-1.1929	0
423	4.72270E-23	-0.90228	0
424	5.59550E-23	-0.74785	0
425	6.22660E-23	-0.72192	0
426	6.39750E-23	-0.71714	0
427	6.14650E-23	-0.76981	0
428	5.70650E-23	-0.86163	0
429	5.43640E-23	-0.87914	0
430	5.59080E-23	-0.8178	0
431	6.22420E-23	-0.70502	0
432	7.26720E-23	-0.51263	0
433	7.90840E-23	-0.50111	0
434	8.01140E-23	-0.52526	0
435	7.81050E-23	-0.56729	0
436	7.89570E-23	-0.52144	0
437	8.48290E-23	-0.41774	0
438	9.83060E-23	-0.26348	0
439	1.17150E-22	-0.13769	0
440	1.34380E-22	-0.23964	0
441	1.53860E-22	-0.21941	0
442	1.68590E-22	-0.17697	0
443	1.73870E-22	-0.18441	0
444	1.68540E-22	-0.22647	0
445	1.56650E-22	-0.28458	0
446	1.43720E-22	-0.35908	0
447	1.40610E-22	-0.36011	0
448	1.50960E-22	-0.26649	0
449	1.69230E-22	-0.17748	0
450	1.86070E-22	-0.17673	0
451	1.94460E-22	-0.17462	0
452	1.92940E-22	-0.20257	0
453	1.91000E-22	-0.19289	0
454	1.90980E-22	-0.18339	0
455	2.09970E-22	-0.012913	0
456	2.27870E-22	-0.12177	0
457	2.59330E-22	-0.16343	0
458	2.96550E-22	-0.13269	0
459	3.39380E-22	-0.061248	0
460	3.78970E-22	-0.01894	0
461	4.05320E-22	-0.041634	0
462	4.09570E-22	-0.079927	0
463	3.93780E-22	-0.12407	0
464	3.65580E-22	-0.19606	0
465	3.40600E-22	-0.24353	0
466	3.31850E-22	-0.21621	0
467	3.42560E-22	-0.18464	0
468	3.68540E-22	-0.14853	0
469	3.99040E-22	-0.085259	0
470	4.17240E-22	-0.089423	0
471	4.21250E-22	-0.11152	0
472	4.19340E-22	-0.12465	0
473	4.20150E-22	-0.13016	0
474	4.32150E-22	-0.10757	0
475	4.63560E-22	-0.064571	0
476	5.14410E-22	-0.025899	0
477	5.71460E-22	-0.0020096	0
478	6.34810E-22	0.016305	0
479	7.08810E-22	0.023953	0
480	7.81350E-22	0.026611	0
481	8.40360E-22	0.046084	0
482	8.69860E-22	0.024733	0
483	8.67030E-22	-0.014568	0
484	8.41080E-22	-0.044109	0
485	8.00940E-22	-0.089035	0
486	7.65330E-22	-0.11942	0
487	7.49050E-22	-0.10539	0
488	7.58510E-22	-0.071967	0
489	7.85250E-22	-0.045414	0
490	8.19310E-22	-0.027249	0
491	8.50610E-22	-0.021288	0
492	8.68220E-22	-0.02922	0
493	8.75920E-22	-0.035771	0
494	8.81940E-22	-0.04282	0
495	8.94880E-22	-0.050419	0
496	9.25320E-22	-0.028686	0
497	9.77740E-22	0.0094	0
498	1.05130E-21	0.031982	0
499	1.14130E-21	0.046176	0
500	1.23230E-21	0.056673	0
501	1.32980E-21	0.063221	0
502	1.43880E-21	0.062328	0
503	1.53750E-21	0.052054	0
504	1.61420E-21	0.058215	0
505	1.65920E-21	0.041892	0
506	1.67060E-21	0.017684	0
507	1.65620E-21	-0.00057349	0
508	1.62320E-21	-0.025978	0
509	1.58660E-21	-0.038191	0
510	1.56100E-21	-0.044623	0
511	1.55530E-21	-0.039144	0
512	1.56910E-21	-0.030123	0
513	1.59850E-21	-0.021941	0
514	1.63980E-21	-0.018856	0
515	1.68140E-21	-0.0025908	0
516	1.71840E-21	-0.001862	0
517	1.75090E-21	-0.0031138	0
518	1.77880E-21	0.00098234	0
519	1.80910E-21	0.00084687	0
520	1.84970E-21	0.0049771	0
521	1.90220E-21	0.010891	0
522	1.96940E-21	0.026341	0
523	2.01690E-21	-0.0086542	0
524	2.10660E-21	-0.013353	0
525	2.20650E-21	-0.013579	0
526	2.30040E-21	-0.015647	0
527	2.40790E-21	-0.014163	0
528	2.51250E-21	-0.0185	0
529	2.59930E-21	-0.021321	0
530	2.67940E-21	-0.029463	0
531	2.75710E-21	-0.032683	0
532	2.81290E-21	-0.037681	0
533	2.84580E-21	-0.04512	0
534	2.86040E-21	-0.044965	0
535	2.85780E-21	-0.054461	0
536	2.85270E-21	-0.056387	0
537	2.85140E-21	-0.057124	0
538	2.86260E-21	-0.053737	0
539	2.89260E-21	-0.046771	0
540	2.93420E-21	-0.045578	0
541	2.98620E-21	-0.040277	0
542	3.05070E-21	-0.035926	0
543	3.11530E-21	-0.035728	0
544	3.16800E-21	-0.032363	0
545	3.21270E-21	-0.031821	0
546	3.25200E-21	-0.039304	0
547	3.28970E-21	-0.03882	0
