wvl_nm	xsec_220K	a(T)
445	6.32330E-19	-2.65E-22
446	4.56090E-19	2.34E-22
447	4.13350E-19	3.79E-22
448	7.14500E-19	-5.51E-22
449	4.66250E-19	3.49E-22
450	3.88740E-19	4.67E-22
451	4.16400E-19	3.23E-22
452	4.44680E-19	6.74E-23
453	4.52350E-19	-2.64E-23
454	3.64740E-19	2.95E-22
455	4.15350E-19	3.35E-22
456	3.83510E-19	3.01E-22
457	3.68040E-19	1.61E-22
458	5.03180E-19	-2.57E-22
459	4.00290E-19	1.58E-22
460	4.56140E-19	-1.50E-22
461	4.31890E-19	7.34E-23
462	3.46560E-19	3.23E-22
463	5.31940E-19	-2.02E-22
464	4.51010E-19	-6.99E-24
465	3.47430E-19	2.04E-22
466	2.70390E-19	3.75E-22
467	4.26540E-19	-1.53E-22
468	3.84730E-19	3.03E-23
469	3.04450E-19	3.55E-22
470	2.93880E-19	3.52E-22
471	2.89010E-19	2.79E-22
472	3.26240E-19	7.66E-23
473	3.28050E-19	1.85E-22
474	4.90100E-19	-2.37E-22
475	4.54280E-19	-1.29E-22
476	3.31120E-19	2.40E-22
477	2.94090E-19	3.10E-22
478	2.87970E-19	3.24E-22
479	3.31020E-19	1.55E-22
480	3.83500E-19	-8.86E-23
481	3.40900E-19	1.59E-23
482	2.82710E-19	2.25E-22
483	2.18600E-19	3.02E-22
484	2.19840E-19	2.92E-22
485	2.53680E-19	1.16E-22
486	2.52890E-19	2.18E-22
487	2.21250E-19	3.42E-22
488	3.20830E-19	-1.51E-24
489	4.43770E-19	-3.96E-22
490	3.16250E-19	5.58E-23
491	2.09720E-19	3.69E-22
492	2.18220E-19	3.62E-22
493	2.41950E-19	2.66E-22
494	3.04160E-19	2.08E-23
495	3.17750E-19	-3.26E-23
496	3.12800E-19	-1.53E-23
497	2.54840E-19	2.18E-22
498	1.80610E-19	2.98E-22
499	1.43590E-19	3.58E-22
500	1.35520E-19	2.45E-22
501	1.60240E-19	2.23E-22
502	2.06680E-19	1.06E-22
503	2.59980E-19	-1.26E-22
504	2.37460E-19	2.44E-23
505	3.12100E-19	-1.47E-22
506	2.19300E-19	4.05E-23
507	1.91750E-19	1.21E-22
508	1.79660E-19	2.10E-22
509	2.32520E-19	6.05E-23
510	2.60410E-19	-2.58E-23
511	2.41650E-19	-5.81E-23
512	2.27980E-19	-2.30E-23
513	2.00720E-19	4.34E-23
514	1.57080E-19	1.84E-22
515	1.36460E-19	2.10E-22
516	1.32410E-19	1.87E-22
517	1.14740E-19	1.79E-22
518	1.51980E-19	6.27E-23
519	1.77470E-19	6.07E-23
520	1.75510E-19	2.90E-23
521	1.48680E-19	4.79E-24
522	1.31920E-19	8.26E-23
523	1.41580E-19	4.58E-23
524	1.36270E-19	1.67E-22
525	2.14610E-19	-2.19E-24
526	2.07790E-19	1.44E-23
527	1.72220E-19	7.51E-23
528	1.73680E-19	-3.55E-23
529	1.44810E-19	2.25E-23
530	1.44350E-19	2.51E-23
531	1.39220E-19	9.07E-23
532	1.44140E-19	1.44E-22
533	1.42190E-19	9.05E-23
534	1.12820E-19	1.20E-22
535	8.17690E-20	1.63E-22
536	7.71760E-20	1.21E-22
537	7.21470E-20	1.21E-22
538	1.02870E-19	2.63E-23
539	1.24860E-19	-3.08E-23
540	8.20440E-20	1.30E-22
541	7.31690E-20	1.79E-22
542	1.34180E-19	-1.05E-23
543	1.40710E-19	2.88E-23
544	1.21660E-19	4.49E-23
545	1.42370E-19	-8.22E-24
546	1.16210E-19	-1.99E-23
547	1.08090E-19	3.48E-23
548	1.25880E-19	3.97E-23
549	1.29060E-19	5.75E-24
550	9.94910E-20	9.83E-23
551	7.81210E-20	1.63E-22
552	8.64710E-20	8.99E-23
553	1.10730E-19	-3.04E-23
554	8.87350E-20	6.22E-23
555	6.32710E-20	1.40E-22
556	5.08670E-20	1.27E-22
557	5.62240E-20	8.99E-23
558	6.03880E-20	4.81E-23
559	4.77450E-20	5.64E-23
560	4.95480E-20	6.22E-23
