Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Global_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3215E+03 .9357E-01 .1466E+00 .2090E+00 .6979E-01 .7708E-01 .1469E+00
.3220E+03 .8893E-01 .1357E+00 .1950E+00 .6633E-01 .7139E-01 .1377E+00
.3225E+03 .8725E-01 .1321E+00 .1902E+00 .6508E-01 .6950E-01 .1346E+00
.3230E+03 .8480E-01 .1287E+00 .1852E+00 .6325E-01 .6770E-01 .1310E+00
.3235E+03 .9786E-01 .1554E+00 .2206E+00 .7299E-01 .8170E-01 .1547E+00
.3240E+03 .1085E+00 .1713E+00 .2436E+00 .8095E-01 .9008E-01 .1710E+00
.3245E+03 .1130E+00 .1756E+00 .2508E+00 .8425E-01 .9236E-01 .1766E+00
.3250E+03 .1131E+00 .1661E+00 .2415E+00 .8436E-01 .8746E-01 .1718E+00
.3255E+03 .1309E+00 .1927E+00 .2799E+00 .9766E-01 .1014E+00 .1991E+00
.3260E+03 .1525E+00 .2330E+00 .3346E+00 .1137E+00 .1226E+00 .2363E+00
.3265E+03 .1620E+00 .2479E+00 .3558E+00 .1208E+00 .1305E+00 .2513E+00
.3270E+03 .1596E+00 .2413E+00 .3475E+00 .1190E+00 .1270E+00 .2460E+00
.3275E+03 .1555E+00 .2321E+00 .3357E+00 .1160E+00 .1222E+00 .2382E+00
.3280E+03 .1443E+00 .2113E+00 .3074E+00 .1076E+00 .1113E+00 .2189E+00
.3285E+03 .1511E+00 .2224E+00 .3230E+00 .1127E+00 .1171E+00 .2298E+00
.3290E+03 .1703E+00 .2520E+00 .3655E+00 .1271E+00 .1327E+00 .2598E+00
.3295E+03 .1891E+00 .2788E+00 .4048E+00 .1411E+00 .1469E+00 .2879E+00
.3300E+03 .1915E+00 .2790E+00 .4065E+00 .1428E+00 .1470E+00 .2898E+00
.3305E+03 .1761E+00 .2518E+00 .3692E+00 .1314E+00 .1327E+00 .2641E+00
.3310E+03 .1668E+00 .2359E+00 .3470E+00 .1244E+00 .1243E+00 .2488E+00
.3315E+03 .1727E+00 .2441E+00 .3592E+00 .1288E+00 .1287E+00 .2576E+00
.3320E+03 .1792E+00 .2544E+00 .3737E+00 .1337E+00 .1341E+00 .2678E+00
.3325E+03 .1803E+00 .2555E+00 .3756E+00 .1345E+00 .1347E+00 .2692E+00
.3330E+03 .1774E+00 .2485E+00 .3667E+00 .1323E+00 .1311E+00 .2634E+00
.3335E+03 .1701E+00 .2341E+00 .3474E+00 .1269E+00 .1235E+00 .2504E+00
.3340E+03 .1741E+00 .2376E+00 .3535E+00 .1299E+00 .1254E+00 .2552E+00
.3345E+03 .1860E+00 .2545E+00 .3783E+00 .1387E+00 .1343E+00 .2730E+00
.3350E+03 .1937E+00 .2647E+00 .3937E+00 .1444E+00 .1397E+00 .2841E+00
.3355E+03 .1894E+00 .2728E+00 .3989E+00 .1413E+00 .1438E+00 .2851E+00
.3360E+03 .1742E+00 .2492E+00 .3652E+00 .1299E+00 .1316E+00 .2616E+00
.3365E+03 .1616E+00 .2153E+00 .3229E+00 .1205E+00 .1141E+00 .2347E+00
.3370E+03 .1592E+00 .2094E+00 .3155E+00 .1187E+00 .1113E+00 .2300E+00
.3375E+03 .1714E+00 .2234E+00 .3376E+00 .1278E+00 .1190E+00 .2468E+00
.3380E+03 .1853E+00 .2419E+00 .3653E+00 .1382E+00 .1292E+00 .2673E+00
.3385E+03 .1943E+00 .2642E+00 .3936E+00 .1449E+00 .1413E+00 .2862E+00
.3390E+03 .1984E+00 .2645E+00 .3966E+00 .1479E+00 .1418E+00 .2897E+00
