wvl_nm	Xsec_O4			
846	0
847	0
848	0
849	0
850	0
851	0
852	0
853	0
854	0
855	0
856	0
857	0
858	0
859	0
860	0
861	0
862	0
863	0
864	0
865	0
866	0
867	0
868	0
869	0
870	0
871	0
872	0
873	0
874	0
875	0
876	0
877	0
878	0
879	0
880	0
881	0
882	0
883	0
884	0
885	0
886	0
887	0
888	0
889	0
890	0
891	0
892	0
893	0
894	0
895	0
896	0
897	0
898	0
899	0
900	0
901	0
902	0
903	0
904	0
905	0
906	0
907	0
908	0
909	0
910	0
911	0
912	0
913	0
914	0
915	0
916	0
917	0
918	0
919	0
920	0
921	0
922	0
923	0
924	0
925	0
926	0
927	0
928	0
929	0
930	0
931	0
932	0
933	0
934	0
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	0
944	0
945	0
946	0
947	0
948	0
949	0
950	0
951	0
952	0
953	0
954	0
955	0
956	0
957	0
958	0
959	0
960	0
961	0
962	0
963	0
964	0
965	0
966	0
967	0
968	0
969	0
970	0
971	0
972	0
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	0
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	0
995	0
996	0
997	0
998	0
999	0
1000	0
1001	0
1002	0
1003	0
1004	0
1005	0.015
1006	0.03
1007	0.045
1008	0.060103
1009	0.10303
1010	0.12021
1011	0.145
1012	0.17172
1013	0.18782
1014	0.24041
1015	0.27476
1016	0.30052
1017	0.34345
1018	0.38638
1019	0.42072
1020	0.46365
1021	0.50659
1022	0.57098
1023	0.61821
1024	0.6987
1025	0.75558
1026	0.85003
1027	0.91658
1028	1.0046
1029	1.1044
1030	1.1935
1031	1.3072
1032	1.4253
1033	1.5627
1034	1.7001
1035	1.8407
1036	1.9834
1037	2.1562
1038	2.3011
1039	2.4814
1040	2.6821
1041	2.9021
1042	3.1179
1043	3.3314
1044	3.5912
1045	3.8294
1046	4.087
1047	4.4047
1048	4.7331
1049	5.0659
1050	5.4469
1051	5.8901
1052	6.3109
1053	6.8368
1054	7.4013
1055	8.0163
1056	8.6549
1057	9.2935
1058	9.8999
1059	10.473
1060	10.947
1061	11.269
1062	11.557
1063	11.81
1064	12.038
1065	12.111
1066	12.081
1067	11.892
1068	11.457
1069	10.862
1070	10.228
1071	9.6337
1072	9.0155
1073	8.4445
1074	7.8306
1075	7.2725
1076	6.7716
1077	6.3109
1078	5.83
1079	5.3792
1080	5.0186
1081	4.6623
1082	4.3074
1083	4.0169
1084	3.7264
1085	3.4559
1086	3.1855
1087	2.9651
1088	2.7476
1089	2.5744
1090	2.3741
1091	2.1809
1092	2.0034
1093	1.8632
1094	1.7172
1095	1.6028
1096	1.4525
1097	1.3724
1098	1.2536
1099	1.1319
1100	1.0418
1101	0.97024
1102	0.85146
1103	0.82141
1104	0.78993
1105	0.71122
1106	0.63108
1107	0.57527
1108	0.51088
1109	0.45077
1110	0.41071
1111	0.37779
1112	0.32055
1113	0.31053
1114	0.3091
1115	0.30052
1116	0.28048
1117	0.24041
1118	0.24041
1119	0.20034
1120	0.18031
1121	0.12879
1122	0.090155
1123	0.13022
1124	0.12879
1125	0.12021
1126	0.11019
1127	0.094448
1128	0.070121
1129	0.060103
1130	0.045103
1131	0.030103
1132	0.015103
1133	0.000103
1134	0
1135	0
1136	0
1137	0
1138	0
1139	0
1140	0
1141	0
1142	0
1143	0
1144	0
1145	0
1146	0
1147	0
1148	0
1149	0
1150	0
1151	0
1152	0
1153	0
1154	0
1155	0
1156	0
1157	0
1158	0
1159	0
1160	0
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0.032129104
1181	0.039268597
1182	0.039900263
1183	0.032543289
1184	0.04088932
1185	0.036388696
1186	0.040562405
1187	0.030710625
1188	0.034648843
1189	0.029074664
1190	0.033819089
1191	0.048355728
1192	0.033931292
1193	0.053240061
1194	0.041351988
1195	0.058562128
1196	0.036154592
1197	0.057406843
1198	0.074852473
1199	0.064442444
1200	0.091800803
1201	0.072242693
1202	0.102111096
1203	0.116626957
1204	0.108048206
1205	0.133184652
1206	0.133403518
1207	0.159786674
1208	0.157736529
1209	0.181465577
1210	0.20961352
1211	0.223244217
1212	0.242443552
1213	0.256780718
1214	0.280426652
1215	0.312273168
1216	0.330876853
1217	0.35845685
1218	0.381867295
1219	0.408810084
1220	0.436528605
1221	0.473929907
1222	0.517384679
1223	0.552846655
1224	0.615112897
1225	0.644840006
1226	0.694237429
1227	0.745615736
1228	0.794874636
1229	0.852251004
1230	0.913464469
1231	0.978625848
1232	1.037193517
1233	1.116747472
1234	1.181576396
1235	1.260520848
1236	1.337304336
1237	1.41086023
1238	1.508380662
1239	1.610195318
1240	1.692616706
1241	1.790829755
1242	1.904972988
1243	2.015237568
1244	2.137830724
1245	2.269150852
1246	2.414877407
1247	2.576672669
1248	2.767973404
1249	2.960520848
1250	3.166366533
1251	3.438287852
1252	3.730987671
1253	4.024795678
1254	4.41252251
1255	4.804820612
1256	5.251419864
1257	5.785288821
1258	6.395345616
1259	7.043080759
1260	7.838066214
1261	8.659371104
1262	9.501593018
1263	10.35766727
1264	10.92685968
1265	11.4195872
1266	11.703283
1267	11.80911484
1268	11.69178557
1269	11.20861615
1270	10.19739576
1271	9.203075218
1272	8.078127164
1273	7.209724339
1274	6.338828093
1275	5.671007065
1276	5.060811747
1277	4.450616429
1278	3.924781826
1279	3.435240338
1280	3.015653138
1281	2.661171907
1282	2.329269982
1283	2.068707577
1284	1.827261394
1285	1.620168998
1286	1.446045159
1287	1.28539964
1288	1.14842776
1289	1.048095304
1290	0.935835988
1291	0.851059704
1292	0.76136584
1293	0.688807314
1294	0.628521956
1295	0.573832941
1296	0.518894584
1297	0.464884333
1298	0.423604377
1299	0.38973542
1300	0.355811054
1301	0.319947361
1302	0.289098213
1303	0.256836127
1304	0.226582629
1305	0.213298241
1306	0.192228841
1307	0.172364593
1308	0.173098767
1309	0.150076188
1310	0.128768527
1311	0.120832525
1312	0.112163735
1313	0.08822136
1314	0.086167059
1315	0.078092534
1316	0.07035739
1317	0.062156808
1318	0.04406289
1319	0.033999169
1320	0.031292423
1321	0.021339521
1322	0.028817011
1323	0.030243801
1324	0.02471949
1325	0.024755506
1326	0.019677241
1327	0.01522233
1328	0.017132567
1329	0.018690954
1330	0.009257653
1331	0.01053567
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	0
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	0
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
