Wavelength Global Beam Diffuse Ground
.3625E+03 .5954E+00 .3880E+00 .2346E+00 .9717E-01
.3630E+03 .6125E+00 .4001E+00 .2403E+00 .9776E-01
.3635E+03 .5957E+00 .3899E+00 .2328E+00 .9835E-01
.3640E+03 .6170E+00 .4047E+00 .2401E+00 .9894E-01
.3645E+03 .6112E+00 .4018E+00 .2369E+00 .9953E-01
.3650E+03 .6346E+00 .4181E+00 .2449E+00 .1001E+00
.3655E+03 .6983E+00 .4611E+00 .2684E+00 .1007E+00
.3660E+03 .7482E+00 .4951E+00 .2864E+00 .1013E+00
.3665E+03 .7494E+00 .4969E+00 .2857E+00 .1019E+00
.3670E+03 .7354E+00 .4887E+00 .2791E+00 .1025E+00
.3675E+03 .7214E+00 .4804E+00 .2727E+00 .1031E+00
.3680E+03 .6791E+00 .4532E+00 .2556E+00 .1038E+00
.3685E+03 .6746E+00 .4511E+00 .2529E+00 .1044E+00
.3690E+03 .7051E+00 .4724E+00 .2633E+00 .1049E+00
.3695E+03 .7575E+00 .5086E+00 .2817E+00 .1055E+00
.3700E+03 .7680E+00 .5167E+00 .2845E+00 .1061E+00
.3705E+03 .6943E+00 .4680E+00 .2561E+00 .1067E+00
.3710E+03 .7052E+00 .4763E+00 .2591E+00 .1073E+00
.3715E+03 .7328E+00 .4959E+00 .2681E+00 .1079E+00
.3720E+03 .6859E+00 .4651E+00 .2499E+00 .1085E+00
.3725E+03 .6534E+00 .4439E+00 .2371E+00 .1091E+00
.3730E+03 .6294E+00 .4283E+00 .2275E+00 .1097E+00
.3735E+03 .5673E+00 .3868E+00 .2043E+00 .1103E+00
.3740E+03 .5658E+00 .3865E+00 .2029E+00 .1109E+00
.3745E+03 .5616E+00 .3843E+00 .2006E+00 .1115E+00
.3750E+03 .5992E+00 .4109E+00 .2132E+00 .1121E+00
.3755E+03 .6625E+00 .4551E+00 .2347E+00 .1127E+00
.3760E+03 .6861E+00 .4722E+00 .2421E+00 .1133E+00
.3765E+03 .6750E+00 .4654E+00 .2372E+00 .1139E+00
.3770E+03 .7241E+00 .5001E+00 .2535E+00 .1145E+00
.3775E+03 .8077E+00 .5589E+00 .2816E+00 .1151E+00
.3780E+03 .8701E+00 .6031E+00 .3021E+00 .1156E+00
.3785E+03 .8479E+00 .5889E+00 .2932E+00 .1157E+00
.3790E+03 .7561E+00 .5262E+00 .2603E+00 .1158E+00
.3795E+03 .6777E+00 .4726E+00 .2323E+00 .1158E+00
.3800E+03 .7122E+00 .4975E+00 .2431E+00 .1159E+00
.3805E+03 .7630E+00 .5340E+00 .2594E+00 .1159E+00
.3810E+03 .7763E+00 .5442E+00 .2628E+00 .1160E+00
.3815E+03 .6996E+00 .4913E+00 .2359E+00 .1160E+00
.3820E+03 .5963E+00 .4196E+00 .2003E+00 .1160E+00
.3825E+03 .5159E+00 .3636E+00 .1726E+00 .1160E+00
.3830E+03 .4624E+00 .3265E+00 .1540E+00 .1160E+00
.3835E+03 .4476E+00 .3166E+00 .1485E+00 .1165E+00
.3840E+03 .5179E+00 .3669E+00 .1712E+00 .1170E+00
.3845E+03 .6235E+00 .4424E+00 .2053E+00 .1175E+00
.3850E+03 .6844E+00 .4864E+00 .2245E+00 .1179E+00
.3855E+03 .6540E+00 .4655E+00 .2137E+00 .1184E+00
.3860E+03 .6309E+00 .4498E+00 .2054E+00 .1186E+00
.3865E+03 .6560E+00 .4685E+00 .2127E+00 .1189E+00
